"ObjType","ID","Name","Type","State // 0 = closed, 1 = open, 2 = opening, 3 = closing","DefaultY","DefaultX","DefaultZ","DefaultHeading","DefaultDoorAngle","TopSpeed1","TopSpeed2","Y","X","Z","Heading","DoorAngle","DefaultState","SelfActivated","Dependent","bTemplate","Difficulty  //pick/disarm...","AffectSlots[0]","AffectSlots[1]","AffectSlots[2]","AffectSlots[3]","AffectSlots[4]","CurrentCombination[0]","CurrentCombination[1]","CurrentCombination[2]","CurrentCombination[3]","CurrentCombination[4]","ReqCombination[0]","ReqCombination[1]","ReqCombination[2]","ReqCombination[3]","ReqCombination[4]","RandomCombo","Key","ScaleFactor // divide by 100 to get scale multiplier","SpellID","TargetID[0]","TargetID[1]","TargetID[2]","TargetID[3]","TargetID[4]","Script","TimeStamp   //last time UseSwitch","Accel","AlwaysActive","AdventureDoorID","ReturnY","ReturnX","ReturnZ","DynDoorID","bHasScript","SomeID","bUsable","bRemainOpen","bVisible","bHeadingChanged","bAllowCorpseDrag","RealEstateDoorID"
"BYTE","BYTE","CHAR","BYTE","BYTE","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","BYTE","BYTE","BYTE","bool","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","BYTE","int","SHORT","int","BYTE","BYTE","BYTE","BYTE","BYTE","CHAR","DWORD","FLOAT","BYTE","int","FLOAT","FLOAT","FLOAT","int","bool","int","bool","bool","bool","bool","bool","int"
5,1,"OBJ_ELEV",59,0,-1307.988892,-1541.540894,-89.500000,0.000000,0.000000,0.000000,0.000000,-1307.988892,-1541.540894,-89.500000,0.000000,0.000000,0,130,67,false,205,121,120,191,139,112,118,190,23,204,24,55,205,121,120,191,139,-1,100,100,23,204,24,55,85,"",15543450,0.000000,66,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,2,"OBJ_ELEV",59,0,-1307.959961,-1390.322876,11.000000,0.000000,0.000000,0.000000,0.000000,-1307.959961,-1390.322876,11.000000,0.000000,0.000000,0,33,107,false,138,121,202,62,236,230,153,50,193,33,107,191,138,121,202,62,236,-1,100,100,3,55,106,191,162,"",15543451,0.000000,65,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,3,"OBJ_GEARSB",157,1,-1316.500000,-1541.348267,-93.250000,256.000000,285.000000,-10.000000,-10.000000,-1316.500000,-1541.348267,-93.250000,256.000000,74.794868,1,72,78,false,59,44,145,54,216,200,40,191,93,122,64,63,109,124,61,182,216,-1,100,-1,93,122,64,63,109,"",15553506,0.000000,68,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,4,"OBJ_GEARSB",157,1,-1299.594727,-1541.258179,-93.250000,0.000000,11.000000,-10.000000,-10.000000,-1299.594727,-1541.258179,-93.250000,0.000000,312.794952,1,236,141,false,56,117,238,190,73,138,98,63,163,236,141,54,56,117,238,190,73,-1,100,-1,30,247,64,54,99,"",15553506,0.000000,222,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,5,"OBJ_GEARSB",157,1,-1316.304810,-1390.322876,6.690126,256.000000,17.000000,-10.000000,-10.000000,-1316.304810,-1390.322876,6.690126,256.000000,318.794922,1,162,243,false,180,40,97,63,231,83,160,182,185,155,215,190,199,49,104,63,114,-1,100,-1,185,155,215,190,199,"",15553506,0.000000,48,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,6,"OBJ_GEARSB",157,0,-1299.427002,-1390.258301,7.040304,0.000000,438.000000,-10.000000,-10.000000,-1299.427002,-1390.258301,7.040304,0.000000,438.000000,1,160,104,false,71,200,217,52,14,187,213,190,198,160,104,63,71,200,217,52,14,-1,100,-1,116,108,198,190,139,"",15543452,0.000000,243,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,7,"OBJ_LIFT",59,0,-192.097992,-573.473938,-68.898987,128.000000,0.000000,0.000000,0.000000,-192.097992,-573.473938,-68.898987,128.000000,0.000000,0,191,27,false,117,88,239,190,89,78,98,63,108,191,27,182,103,48,214,190,201,-1,100,144,209,25,52,182,103,"",15543452,0.000000,208,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,8,"OBJ_LIFT",59,3,-192.098984,-734.161438,-69.000000,384.000000,0.000000,0.000000,0.000000,-192.098984,-734.161438,-58.091667,384.000000,0.000000,0,196,213,false,179,158,104,63,190,195,67,182,20,196,213,190,179,158,104,63,190,-1,100,144,89,245,10,191,238,"",15543452,0.000000,69,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
5,9,"OBJ_PADDLE",157,1,340.250977,-2166.942627,-94.187996,256.000000,512.000000,2.000000,2.000000,340.250977,-2166.942627,-94.187996,256.000000,246.834366,1,134,18,false,2,116,154,53,103,141,96,191,25,221,245,190,205,90,73,182,103,-1,100,-1,25,221,245,190,205,"",15553506,0.000000,137,0,0.000000,0.000000,0.000000,0,false,0,true,false,true,false,false,0
