"ID","DropID","ZoneID","DropSubID //well zonefile id, but yeah...","Name","Expires","Heading","Pitch","Roll","Scale","Y","X","Z","Weight//-1 means it can't be picked up"
"int","DWORD","DWORD","DWORD","CHAR","long","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","FLOAT","int"
0,470,394,271798,"IT11056_ACTORDEF",2147483647,418.000000,130.000000,0.000000,3.000000,-871.140015,-2381.479980,-159.799606,1
0,469,394,13886,"IT10645_ACTORDEF",2147483647,50.000000,0.000000,130.000000,2.000000,-1604.000000,-1505.000000,-67.232361,1
0,468,394,271804,"IT11065_ACTORDEF",2147483647,299.000000,130.000000,0.000000,2.000000,-1585.000000,-1525.000000,-90.253403,1
0,467,394,271782,"IT10807_ACTORDEF",2147483647,371.000000,0.000000,0.000000,2.000000,456.709991,-982.340027,-210.220108,1
0,466,394,271786,"IT11079_ACTORDEF",2147483647,35.000000,50.000000,0.000000,8.000000,130.529999,-808.020020,-141.299347,1
0,465,394,271970,"IT11073_ACTORDEF",2147483647,0.000000,130.000000,0.000000,0.500000,317.000000,-941.000000,-156.882767,1
0,464,394,271969,"IT11059_ACTORDEF",2147483647,0.000000,130.000000,340.000000,0.800000,-1393.000000,-1437.000000,-53.999001,1
0,463,394,271965,"IT11058_ACTORDEF",2147483647,200.000000,130.000000,0.000000,4.000000,-1354.339966,-1230.449951,111.057030,1
0,1,394,3400,"IT11062_ACTORDEF",2134237135,0.000000,0.000000,0.000000,1.000000,-1614.000000,-1508.000000,-87.000748,1
0,4,394,18652,"IT10805_ACTORDEF",2134237135,214.000000,0.000000,0.000000,1.000000,-1146.000000,-1606.000000,-90.174179,-1
0,5,394,18653,"IT10805_ACTORDEF",2134237135,83.000000,0.000000,0.000000,1.000000,-1167.000000,-1644.000000,-57.370178,-1
0,6,394,18654,"IT10863_ACTORDEF",2134237135,381.000000,0.000000,0.000000,1.000000,-1046.040039,-1444.609985,25.921036,-1
0,7,394,18655,"IT10863_ACTORDEF",2134237135,381.000000,0.000000,0.000000,1.000000,-1046.040039,-1526.069946,25.921036,-1
0,8,394,18656,"IT10863_ACTORDEF",2134237135,381.000000,0.000000,0.000000,1.000000,-1088.520020,-1485.520020,10.056902,-1
0,9,394,18657,"IT10864_ACTORDEF",2134237135,378.000000,0.000000,0.000000,1.000000,-1097.119995,-1453.689941,10.056902,-1
0,10,394,18658,"IT10864_ACTORDEF",2134237135,387.000000,0.000000,0.000000,1.000000,-1096.089966,-1513.349976,10.056902,-1
0,11,394,18659,"IT10801_ACTORDEF",2134237135,0.000000,0.000000,0.000000,1.000000,-1200.000000,-1521.000000,10.037849,-1
0,12,394,18660,"IT10801_ACTORDEF",2134237135,0.000000,0.000000,0.000000,1.000000,-1200.000000,-1449.000000,10.037853,-1
0,13,394,18661,"IT10802_ACTORDEF",2134237135,249.000000,0.000000,0.000000,1.000000,-1470.000000,-1502.000000,30.703571,-1
0,14,394,18662,"IT10802_ACTORDEF",2134237135,384.000000,0.000000,0.000000,1.000000,-1430.000000,-1502.000000,30.703571,-1
0,15,394,18663,"IT10865_ACTORDEF",2134237135,128.000000,0.000000,0.000000,1.000000,-1469.109985,-1527.140015,30.710012,-1
0,16,394,18664,"IT10865_ACTORDEF",2134237135,128.000000,0.000000,0.000000,1.000000,-1469.109985,-1550.380005,30.708557,-1
0,17,394,18665,"IT10800_ACTORDEF",2134237135,0.000000,0.000000,0.000000,1.000000,-1201.000000,-1510.000000,10.037857,-1
0,18,394,18666,"IT10800_ACTORDEF",2134237135,256.000000,0.000000,0.000000,1.000000,-1201.000000,-1462.000000,10.038758,-1
0,19,394,271747,"IT10864_ACTORDEF",2134237135,105.000000,0.000000,0.000000,1.000000,414.649994,1065.599976,-32767.996094,-1
